student_id,days_engaged,minutes_watched,engaged_with_quizzes,engaged_with_exams,engaged_with_qa,paid
258798,1.0,0.3,False,False,False,False
258799,0.0,0.0,False,False,False,False
258800,29.0,531.2,True,True,False,True
258801,0.0,0.0,False,False,False,False
258802,0.0,0.0,False,False,False,False
258803,19.0,620.0,True,True,True,True
258804,1.0,14.2,True,False,False,False
258805,0.0,0.0,False,False,False,False
258806,0.0,0.0,False,False,False,False
258807,1.0,1.8,False,False,False,False
258808,0.0,0.0,False,False,False,False
258809,3.0,53.3,True,False,False,False
258810,1.0,3.2,False,False,False,False
258811,4.0,41.9,True,False,False,False
258812,1.0,2.2,False,False,False,False
258813,1.0,2.1,False,False,False,False
258814,2.0,8.8,False,False,False,False
258815,1.0,29.0,False,True,False,False
258816,1.0,0.8,False,False,False,False
258817,1.0,0.4,False,False,False,False
258818,77.0,1392.5,True,True,True,True
258819,1.0,6.6,True,False,False,False
258820,0.0,0.0,False,False,False,False
258822,15.0,382.7,True,True,True,True
258823,0.0,0.0,False,False,False,False
258824,1.0,1.3,False,False,False,False
258825,0.0,0.0,False,False,False,False
258826,1.0,0.3,False,False,False,False
258827,1.0,0.3,False,False,False,False
258828,1.0,0.4,False,False,False,False
258829,1.0,12.5,False,False,False,False
258830,1.0,0.9,False,False,False,False
258831,1.0,0.1,False,False,False,False
258832,12.0,298.7,True,True,False,True
258833,1.0,1.3,False,False,False,False
258834,1.0,21.9,True,False,False,False
258835,0.0,0.0,False,False,False,False
258836,0.0,0.0,False,False,False,False
258837,3.0,35.7,True,False,False,False
258838,0.0,0.0,False,False,False,False
258839,0.0,0.0,False,False,False,False
258840,2.0,42.1,True,False,False,False
258841,2.0,0.6000000000000001,False,False,False,False
258842,0.0,0.0,False,False,False,False
258843,0.0,0.0,False,False,False,False
258844,0.0,0.0,False,False,False,False
258845,23.0,1556.2,True,True,False,False
258846,1.0,6.9,False,False,False,False
258847,0.0,0.0,False,False,False,False
258848,1.0,0.1,False,False,False,False
258849,1.0,12.0,True,False,False,False
258850,0.0,0.0,False,False,False,False
258851,1.0,6.6,True,False,False,False
258852,1.0,0.1,False,False,False,False
258853,0.0,0.0,False,False,False,False
258854,0.0,0.0,False,False,False,False
258855,1.0,0.2,False,False,False,False
258857,1.0,0.8,True,False,False,False
258858,0.0,0.0,False,False,False,False
258859,0.0,0.0,False,False,False,False
258860,1.0,12.2,True,False,False,False
258861,2.0,21.6,True,False,False,False
258862,21.0,639.5,True,True,False,True
258864,0.0,0.0,False,False,False,False
258865,14.0,318.5,True,True,False,True
258866,0.0,0.0,False,False,False,False
258867,0.0,0.0,False,False,False,False
258868,0.0,0.0,False,False,False,False
258869,1.0,1.2,False,False,False,False
258870,3.0,4.7,False,False,False,False
258871,1.0,2.2,False,False,False,False
258872,1.0,63.8,True,True,False,False
258873,0.0,0.0,False,False,False,False
258874,0.0,0.0,False,False,False,False
258875,0.0,0.0,False,False,False,False
258876,5.0,73.6,True,False,False,False
258877,0.0,0.0,False,False,False,False
258878,2.0,133.7,True,True,False,True
258879,1.0,1.2,False,False,False,False
258880,3.0,73.2,True,False,False,False
258881,1.0,1.9,True,False,False,False
258882,1.0,0.5,False,False,False,False
258883,3.0,30.0,True,True,False,True
258884,1.0,0.3,False,False,False,False
258885,2.0,61.7,True,True,False,False
258886,0.0,0.0,False,False,False,False
258887,1.0,0.1,False,False,False,False
258888,1.0,0.7,False,False,False,False
258889,0.0,0.0,False,False,False,False
258890,1.0,1.2,False,False,False,False
258891,0.0,0.0,False,False,False,False
258892,3.0,11.2,False,False,False,False
258893,1.0,25.3,True,False,False,False
258894,1.0,62.0,True,False,False,False
258895,1.0,11.2,True,False,False,False
258896,0.0,0.0,False,False,False,False
258897,1.0,0.1,False,False,False,False
258898,0.0,0.0,False,False,False,False
258899,0.0,0.0,False,False,False,False
258900,0.0,0.0,False,False,False,False
258901,0.0,0.0,False,False,False,False
258902,2.0,18.9,True,False,False,False
258903,1.0,9.3,True,False,False,False
258904,6.0,219.0,True,False,False,False
258905,1.0,3.6,False,False,False,False
258906,9.0,250.39999999999998,True,True,False,False
258907,1.0,12.3,True,False,False,False
258908,10.0,558.8,True,True,False,True
258909,0.0,0.0,False,False,False,False
258910,1.0,6.6,True,False,False,False
258911,0.0,0.0,False,False,False,False
258912,3.0,15.5,True,False,False,False
258913,41.0,1463.3,True,True,False,True
258914,1.0,2.8,False,False,False,False
258915,3.0,40.599999999999994,True,False,False,False
258916,9.0,406.5,True,True,False,True
258917,1.0,6.6,True,False,False,False
258919,0.0,0.0,False,False,False,False
258920,1.0,65.3,True,False,False,False
258921,0.0,0.0,False,False,False,False
258922,15.0,220.9,True,True,False,True
258924,9.0,363.5,True,False,False,False
258925,1.0,6.7,False,False,False,False
258926,0.0,0.0,False,False,False,False
258927,2.0,5.699999999999999,False,False,False,False
258928,0.0,0.0,False,False,False,False
258929,2.0,43.8,True,True,False,False
258930,13.0,190.6,True,True,False,True
258931,0.0,0.0,False,False,False,False
258932,0.0,0.0,False,False,False,False
258933,2.0,5.8,False,False,False,False
258934,0.0,0.0,False,False,False,False
258935,0.0,0.0,False,False,False,False
258936,2.0,25.5,False,False,False,False
258937,0.0,0.0,False,False,False,False
258938,0.0,0.0,False,False,False,False
258939,1.0,10.8,False,False,False,False
258940,2.0,11.1,False,False,False,False
258941,0.0,0.0,False,False,False,False
258942,0.0,0.0,False,False,False,False
258943,0.0,0.0,False,False,False,False
258944,0.0,0.0,False,False,False,False
258945,0.0,0.0,False,False,False,False
258946,0.0,0.0,False,False,False,False
258947,1.0,0.1,False,False,False,False
258948,0.0,0.0,False,False,False,False
258949,0.0,0.0,False,False,False,False
258950,0.0,0.0,False,False,False,False
258951,7.0,90.6,True,True,False,False
258952,0.0,0.0,False,False,False,False
258953,0.0,0.0,False,False,False,False
258954,1.0,3.4,False,False,False,False
258955,13.0,460.2,True,True,False,True
258956,17.0,716.9,True,True,False,True
258957,1.0,3.6,False,False,False,False
258958,0.0,0.0,False,False,False,False
258959,1.0,0.1,False,False,False,False
258960,1.0,3.4,False,False,False,False
258961,0.0,0.0,False,False,False,False
258962,1.0,0.1,False,False,False,False
258963,0.0,0.0,False,False,False,False
258964,0.0,0.0,False,False,False,False
258965,1.0,1.5,False,False,False,False
258966,0.0,0.0,False,False,False,False
258967,1.0,2.8,False,False,False,False
258968,0.0,0.0,False,False,False,False
258969,1.0,5.2,False,False,False,False
258970,1.0,33.9,True,False,False,False
258971,20.0,336.2,True,True,False,True
258973,1.0,20.3,False,False,False,False
258974,1.0,20.9,True,False,False,False
258975,0.0,0.0,False,False,False,False
258976,0.0,0.0,False,False,False,False
258977,0.0,0.0,False,False,False,False
258978,0.0,0.0,False,False,False,False
258979,2.0,1.5,False,False,False,False
258980,11.0,338.7,True,True,False,True
258981,0.0,0.0,False,False,False,False
258982,1.0,0.1,False,False,False,False
258983,0.0,0.0,False,False,False,False
258984,19.0,434.70000000000005,True,True,False,True
258985,0.0,0.0,False,False,False,False
258986,0.0,0.0,False,False,False,False
258987,1.0,0.3,False,False,False,False
258988,0.0,0.0,False,False,False,False
258989,1.0,0.3,False,False,False,False
258990,0.0,0.0,False,False,False,False
258991,1.0,5.6,False,False,False,False
258992,0.0,0.0,False,False,False,False
258993,1.0,0.3,False,False,False,False
258994,3.0,95.1,True,False,False,False
258995,0.0,0.0,False,False,False,False
258996,3.0,39.2,True,False,False,False
258997,1.0,8.4,True,False,False,False
258998,1.0,0.3,False,False,False,False
258999,1.0,0.5,False,False,False,False
259000,3.0,57.300000000000004,True,False,False,False
259001,2.0,7.9,False,False,False,False
259002,3.0,52.3,True,False,False,False
259003,0.0,0.0,False,False,False,False
259004,0.0,0.0,False,False,False,False
259005,4.0,2.6,False,False,False,False
259006,0.0,0.0,False,False,False,False
259007,0.0,0.0,False,False,False,False
259008,1.0,1.1,False,False,False,False
259009,0.0,0.0,False,False,False,False
259010,0.0,0.0,False,False,False,False
259011,51.0,1937.3,True,True,False,False
259012,3.0,61.8,False,True,False,False
259013,0.0,0.0,False,False,False,False
259014,1.0,2.4,False,False,False,False
259015,6.0,149.5,True,False,False,False
259016,0.0,0.0,False,False,False,False
259017,1.0,1.1,False,False,False,False
259018,1.0,0.7,False,False,False,False
259019,13.0,220.2,True,True,False,False
259020,1.0,5.8,True,False,False,False
259021,0.0,0.0,False,False,False,False
259022,1.0,1.2,False,False,False,False
259023,0.0,0.0,False,False,False,False
259024,2.0,27.0,True,False,False,False
259025,1.0,2.3,True,False,False,False
259026,29.0,586.4,True,True,False,True
259027,0.0,0.0,False,False,False,False
259028,7.0,178.79999999999998,True,False,False,True
259029,1.0,10.4,True,False,False,False
259030,0.0,0.0,False,False,False,False
259031,0.0,0.0,False,False,False,False
259032,1.0,30.7,False,False,False,False
259033,1.0,3.3,False,False,False,False
259034,4.0,34.3,True,False,False,False
259035,1.0,1.1,False,False,False,False
259036,1.0,6.5,False,False,False,False
259037,0.0,0.0,False,False,False,False
259038,0.0,0.0,False,False,False,False
259039,14.0,402.2,True,True,False,True
259040,1.0,0.1,False,False,False,False
259041,1.0,0.2,False,False,False,False
259042,5.0,194.6,True,True,False,False
259043,2.0,11.0,True,True,False,False
259044,0.0,0.0,False,False,False,False
259045,1.0,2.2,False,False,False,False
259046,1.0,141.2,False,True,False,False
259047,2.0,27.2,True,False,False,False
