,student_id,minutes_watched,engagement_quizzes,engagement_exams,engagement_lessons,hub_questions_taken
0,258798,0.3,0,0,1,0.0
1,258800,531.2,10,5,29,0.0
2,258803,620.0,7,4,19,2.0
3,258804,14.2,1,0,1,0.0
4,258807,1.8,0,0,1,0.0
5,258809,53.3,2,0,3,0.0
6,258810,3.2,0,0,1,0.0
7,258811,41.9,4,0,4,0.0
8,258812,2.2,0,0,1,0.0
9,258813,2.1,0,0,1,0.0
10,258814,8.8,0,0,2,0.0
11,258815,29.0,0,1,1,0.0
12,258816,0.8,0,0,1,0.0
13,258817,0.4,0,0,1,0.0
14,258818,1392.5,23,6,77,1.0
15,258819,6.6,1,0,1,0.0
16,258822,382.7,8,7,15,2.0
17,258824,1.3,0,0,1,0.0
18,258826,0.3,0,0,1,0.0
19,258827,0.3,0,0,1,0.0
20,258828,0.4,0,0,1,0.0
21,258829,12.5,0,0,1,0.0
22,258830,0.9,0,0,1,0.0
23,258831,0.1,0,0,1,0.0
24,258832,298.7,3,5,11,0.0
25,258833,1.3,0,0,1,0.0
26,258834,21.9,1,0,1,0.0
27,258837,35.7,3,0,3,0.0
28,258840,42.1,1,0,2,0.0
29,258841,0.6000000000000001,0,0,2,0.0
30,258845,1556.2,15,2,23,0.0
31,258846,6.9,0,0,1,0.0
32,258848,0.1,0,0,1,0.0
33,258849,12.0,1,0,1,0.0
34,258851,6.6,1,0,1,0.0
35,258852,0.1,0,0,1,0.0
36,258855,0.2,0,0,1,0.0
37,258857,0.8,1,0,1,0.0
38,258860,12.2,1,0,1,0.0
39,258861,21.6,1,0,2,0.0
40,258862,639.5,15,8,21,0.0
41,258865,318.5,6,4,14,0.0
42,258869,1.2,0,0,1,0.0
43,258870,4.7,0,0,3,0.0
44,258871,2.2,0,0,1,0.0
45,258872,63.8,1,1,1,0.0
46,258876,73.6,4,0,5,0.0
47,258878,133.7,2,1,2,0.0
48,258879,1.2,0,0,1,0.0
49,258880,73.2,3,0,3,0.0
50,258881,1.9,1,0,1,0.0
51,258882,0.5,0,0,1,0.0
52,258883,30.0,2,1,3,0.0
53,258884,0.3,0,0,1,0.0
54,258885,61.7,2,1,2,0.0
55,258887,0.1,0,0,1,0.0
56,258888,0.7,0,0,1,0.0
57,258890,1.2,0,0,1,0.0
58,258892,11.2,0,0,3,0.0
59,258893,25.3,1,0,1,0.0
60,258894,62.0,1,0,1,0.0
61,258895,11.2,1,0,1,0.0
62,258897,0.1,0,0,1,0.0
63,258902,18.9,1,0,2,0.0
64,258903,9.3,1,0,1,0.0
65,258904,219.0,3,0,6,0.0
66,258905,3.6,0,0,1,0.0
67,258906,250.39999999999998,4,2,9,0.0
68,258907,12.3,1,0,1,0.0
69,258908,558.8,3,2,10,0.0
70,258910,6.6,1,0,1,0.0
71,258912,15.5,1,0,3,0.0
72,258913,1463.3,10,9,41,0.0
73,258914,2.8,0,0,1,0.0
74,258915,40.599999999999994,2,0,3,0.0
75,258916,406.5,8,3,9,0.0
76,258917,6.6,1,0,1,0.0
77,258920,65.3,1,0,1,0.0
78,258922,220.9,6,2,15,0.0
79,258924,363.5,1,0,9,0.0
80,258925,6.7,0,0,1,0.0
81,258927,5.699999999999999,0,0,2,0.0
82,258929,43.8,2,1,2,0.0
83,258930,190.6,10,3,13,0.0
84,258933,5.8,0,0,2,0.0
85,258936,25.5,0,0,2,0.0
86,258939,10.8,0,0,1,0.0
87,258940,11.1,0,0,2,0.0
88,258947,0.1,0,0,1,0.0
89,258951,90.6,1,1,7,0.0
90,258954,3.4,0,0,1,0.0
91,258955,460.2,4,7,12,0.0
92,258956,716.9,9,7,17,0.0
93,258957,3.6,0,0,1,0.0
94,258959,0.1,0,0,1,0.0
95,258960,3.4,0,0,1,0.0
96,258962,0.1,0,0,1,0.0
97,258965,1.5,0,0,1,0.0
98,258967,2.8,0,0,1,0.0
99,258969,5.2,0,0,1,0.0
100,258970,33.9,1,0,1,0.0
101,258971,336.2,11,3,20,0.0
102,258973,20.3,0,0,1,0.0
103,258974,20.9,1,0,1,0.0
104,258979,1.5,0,0,2,0.0
105,258980,338.7,2,7,10,0.0
106,258982,0.1,0,0,1,0.0
107,258984,434.70000000000005,11,5,19,0.0
108,258987,0.3,0,0,1,0.0
109,258989,0.3,0,0,1,0.0
110,258991,5.6,0,0,1,0.0
111,258993,0.3,0,0,1,0.0
112,258994,95.1,3,0,3,0.0
113,258996,39.2,3,0,3,0.0
114,258997,8.4,1,0,1,0.0
115,258998,0.3,0,0,1,0.0
116,258999,0.5,0,0,1,0.0
117,259000,57.300000000000004,1,0,3,0.0
118,259001,7.9,0,0,2,0.0
119,259002,52.3,3,0,3,0.0
120,259005,2.6,0,0,4,0.0
121,259008,1.1,0,0,1,0.0
122,259011,1937.3,14,14,51,0.0
123,259012,61.8,0,2,3,0.0
124,259014,2.4,0,0,1,0.0
125,259015,149.5,5,0,6,0.0
126,259017,1.1,0,0,1,0.0
127,259018,0.7,0,0,1,0.0
128,259019,220.2,5,1,13,0.0
129,259020,5.8,1,0,1,0.0
130,259022,1.2,0,0,1,0.0
131,259024,27.0,2,0,2,0.0
132,259025,2.3,1,0,1,0.0
133,259026,586.4,13,7,29,0.0
134,259028,178.79999999999998,3,0,7,0.0
135,259029,10.4,1,0,1,0.0
136,259032,30.7,0,0,1,0.0
137,259033,3.3,0,0,1,0.0
138,259034,34.3,2,0,4,0.0
139,259035,1.1,0,0,1,0.0
140,259036,6.5,0,0,1,0.0
141,259039,402.2,5,3,13,0.0
142,259040,0.1,0,0,1,0.0
143,259041,0.2,0,0,1,0.0
144,259042,194.6,4,1,5,0.0
145,259043,11.0,1,1,2,0.0
146,259045,2.2,0,0,1,0.0
147,259046,141.2,0,1,1,0.0
148,259047,27.2,1,0,2,0.0
149,259048,0.6,0,0,1,0.0
150,259051,0.4,0,0,1,0.0
151,259054,69.5,2,0,5,0.0
152,259055,2.0,0,0,1,0.0
153,259056,0.5,0,0,1,0.0
154,259057,8.4,1,0,1,0.0
155,259058,1.2,0,0,1,0.0
156,259059,4.3,0,0,1,0.0
157,259060,30.2,2,0,3,0.0
158,259062,9.5,1,0,1,0.0
159,259063,4.7,0,0,1,0.0
160,259065,0.4,0,0,1,0.0
161,259067,59.8,1,1,1,0.0
162,259068,46.6,1,0,2,0.0
163,259069,1.0,1,0,1,0.0
