student_id,student_country,date_registered,purchase_id,purchase_type,date_purchased,paid,active_purchase,potential_stay
258798,IN,2022-01-01,,,,"(False, False)",False,False
258799,CO,2022-01-01,,,,"(False, False)",False,False
258800,CA,2022-01-01,15781.0,Annual,2022-01-01,"(True, True)",True,True
258801,IN,2022-01-01,,,,"(False, False)",False,False
258802,US,2022-01-01,,,,"(False, False)",False,False
258803,US,2022-01-01,15786.0,Annual,2022-01-01,"(True, True)",True,True
258804,BD,2022-01-01,,,,"(False, False)",False,False
258805,BD,2022-01-01,,,,"(False, False)",False,False
258806,NG,2022-01-01,,,,"(False, False)",False,False
258807,US,2022-01-01,,,,"(False, False)",False,False
258808,SA,2022-01-01,,,,"(False, False)",False,False
258809,ID,2022-01-01,,,,"(False, False)",False,False
258810,IN,2022-01-01,,,,"(False, False)",False,False
258811,DZ,2022-01-01,,,,"(False, False)",False,False
258812,IN,2022-01-01,,,,"(False, False)",False,False
258813,ET,2022-01-01,,,,"(False, False)",False,False
258814,IN,2022-01-01,,,,"(False, False)",False,False
258815,EG,2022-01-01,,,,"(False, False)",False,False
258816,KE,2022-01-01,,,,"(False, False)",False,False
258817,IN,2022-01-01,,,,"(False, False)",False,False
258818,IN,2022-01-01,15845.0,Annual,2022-01-03,"(True, True)",True,True
258819,ES,2022-01-01,,,,"(False, False)",False,False
258820,IN,2022-01-01,,,,"(False, False)",False,False
258822,IN,2022-01-01,15941.0,Monthly,2022-01-09,"(False, False)",False,False
258823,BD,2022-01-01,,,,"(False, False)",False,False
258824,US,2022-01-01,,,,"(False, False)",False,False
258825,IN,2022-01-01,,,,"(False, False)",False,False
258826,CN,2022-01-01,,,,"(False, False)",False,False
258827,IN,2022-01-01,,,,"(False, False)",False,False
258828,IN,2022-01-01,,,,"(False, False)",False,False
258829,BR,2022-01-01,,,,"(False, False)",False,False
258830,BY,2022-01-01,,,,"(False, False)",False,False
258831,SG,2022-01-01,,,,"(False, False)",False,False
258832,IN,2022-01-01,17437.0,Monthly,2022-03-05,"(False, False)",False,False
258833,IN,2022-01-01,,,,"(False, False)",False,False
258834,GB,2022-01-01,,,,"(False, False)",False,False
258835,CM,2022-01-01,,,,"(False, False)",False,False
258836,PK,2022-01-01,,,,"(False, False)",False,False
258837,ID,2022-01-01,,,,"(False, False)",False,False
258838,PK,2022-01-01,,,,"(False, False)",False,False
258839,EG,2022-01-01,,,,"(False, False)",False,False
258840,SA,2022-01-01,,,,"(False, False)",False,False
258841,JP,2022-01-01,,,,"(False, False)",False,False
258842,PK,2022-01-01,,,,"(False, False)",False,False
258843,US,2022-01-01,,,,"(False, False)",False,False
258844,EG,2022-01-01,,,,"(False, False)",False,False
258845,ID,2022-01-01,,,,"(False, False)",False,False
258846,US,2022-01-01,,,,"(False, False)",False,False
258847,IN,2022-01-01,,,,"(False, False)",False,False
258848,RU,2022-01-01,,,,"(False, False)",False,False
258849,IN,2022-01-01,,,,"(False, False)",False,False
258850,CA,2022-01-01,,,,"(False, False)",False,False
258851,HT,2022-01-01,,,,"(False, False)",False,False
258852,SA,2022-01-01,,,,"(False, False)",False,False
258853,US,2022-01-01,,,,"(False, False)",False,False
258854,NG,2022-01-01,,,,"(False, False)",False,False
258855,GB,2022-01-01,,,,"(False, False)",False,False
258857,AZ,2022-01-01,,,,"(False, False)",False,False
258858,MA,2022-01-01,,,,"(False, False)",False,False
258859,SA,2022-01-01,,,,"(False, False)",False,False
258860,PL,2022-01-01,,,,"(False, False)",False,False
258861,IN,2022-01-01,,,,"(False, False)",False,False
258862,NL,2022-01-01,15808.0,Annual,2022-01-01,"(True, True)",True,True
258864,DE,2022-01-01,,,,"(False, False)",False,False
258865,CA,2022-01-01,15809.0,Annual,2022-01-01,"(True, True)",True,True
258866,IN,2022-01-01,,,,"(False, False)",False,False
258867,TN,2022-01-01,,,,"(False, False)",False,False
258868,DZ,2022-01-01,,,,"(False, False)",False,False
258869,VN,2022-01-01,,,,"(False, False)",False,False
258870,GB,2022-01-01,,,,"(False, False)",False,False
258871,CA,2022-01-01,,,,"(False, False)",False,False
258872,CO,2022-01-01,,,,"(False, False)",False,False
258873,EG,2022-01-01,,,,"(False, False)",False,False
258874,PT,2022-01-01,,,,"(False, False)",False,False
258875,SA,2022-01-01,,,,"(False, False)",False,False
258876,FR,2022-01-01,,,,"(False, False)",False,False
258877,EG,2022-01-01,,,,"(False, False)",False,False
258878,CA,2022-01-01,15811.0,Annual,2022-01-01,"(True, True)",True,True
258879,LY,2022-01-01,,,,"(False, False)",False,False
258880,RU,2022-01-01,,,,"(False, False)",False,False
258881,EG,2022-01-01,,,,"(False, False)",False,False
258882,US,2022-01-01,,,,"(False, False)",False,False
258883,US,2022-01-01,16973.0,Annual,2022-01-01,"(True, True)",True,True
258884,EG,2022-01-01,,,,"(False, False)",False,False
258885,MD,2022-01-01,,,,"(False, False)",False,False
258886,SA,2022-01-01,,,,"(False, False)",False,False
258887,SA,2022-01-01,,,,"(False, False)",False,False
258888,GB,2022-01-01,,,,"(False, False)",False,False
258889,SA,2022-01-01,,,,"(False, False)",False,False
258890,RU,2022-01-01,,,,"(False, False)",False,False
258891,EG,2022-01-01,,,,"(False, False)",False,False
258892,MX,2022-01-01,,,,"(False, False)",False,False
258893,AE,2022-01-01,,,,"(False, False)",False,False
258894,US,2022-01-01,,,,"(False, False)",False,False
258895,EG,2022-01-01,,,,"(False, False)",False,False
258896,BR,2022-01-01,,,,"(False, False)",False,False
258897,AR,2022-01-01,,,,"(False, False)",False,False
258898,IN,2022-01-01,,,,"(False, False)",False,False
258899,SA,2022-01-01,,,,"(False, False)",False,False
258900,IN,2022-01-01,,,,"(False, False)",False,False
258901,SA,2022-01-01,,,,"(False, False)",False,False
258902,NG,2022-01-01,,,,"(False, False)",False,False
258903,US,2022-01-01,,,,"(False, False)",False,False
258904,SA,2022-01-01,,,,"(False, False)",False,False
258905,NG,2022-01-01,,,,"(False, False)",False,False
258906,EG,2022-01-01,,,,"(False, False)",False,False
258907,EG,2022-01-01,,,,"(False, False)",False,False
258908,US,2022-01-01,15813.0,Monthly,2022-01-01,"(False, False)",False,False
258909,US,2022-01-01,,,,"(False, False)",False,False
258910,EG,2022-01-02,,,,"(False, False)",False,False
258911,SA,2022-01-02,,,,"(False, False)",False,False
258912,IN,2022-01-02,,,,"(False, False)",False,False
258913,US,2022-01-02,16544.0,Annual,2022-01-27,"(True, True)",True,True
258914,LK,2022-01-02,,,,"(False, False)",False,False
258915,SA,2022-01-02,,,,"(False, False)",False,False
258916,CA,2022-01-02,15816.0,Annual,2022-01-02,"(True, True)",True,True
258917,US,2022-01-02,,,,"(False, False)",False,False
258919,DE,2022-01-02,,,,"(False, False)",False,False
258920,PH,2022-01-02,,,,"(False, False)",False,False
258921,SA,2022-01-02,,,,"(False, False)",False,False
258922,US,2022-01-02,15862.0,Annual,2022-01-04,"(True, True)",True,True
258924,EG,2022-01-02,,,,"(False, False)",False,False
258925,ID,2022-01-02,,,,"(False, False)",False,False
258926,SA,2022-01-02,,,,"(False, False)",False,False
258927,IN,2022-01-02,,,,"(False, False)",False,False
258928,SA,2022-01-02,,,,"(False, False)",False,False
258929,US,2022-01-02,,,,"(False, False)",False,False
258930,SA,2022-01-02,18010.0,Annual,2022-03-28,"(True, True)",True,True
258931,SA,2022-01-02,,,,"(False, False)",False,False
258932,SA,2022-01-02,,,,"(False, False)",False,False
258933,US,2022-01-02,,,,"(False, False)",False,False
258934,US,2022-01-02,,,,"(False, False)",False,False
258935,US,2022-01-02,,,,"(False, False)",False,False
258936,IN,2022-01-02,,,,"(False, False)",False,False
258937,SD,2022-01-02,,,,"(False, False)",False,False
258938,IN,2022-01-02,,,,"(False, False)",False,False
258939,US,2022-01-02,,,,"(False, False)",False,False
258940,DE,2022-01-02,,,,"(False, False)",False,False
258941,SA,2022-01-02,,,,"(False, False)",False,False
258942,NG,2022-01-02,,,,"(False, False)",False,False
258943,IN,2022-01-02,,,,"(False, False)",False,False
258944,VN,2022-01-02,,,,"(False, False)",False,False
258945,IN,2022-01-02,,,,"(False, False)",False,False
258946,US,2022-01-02,,,,"(False, False)",False,False
258947,IN,2022-01-02,,,,"(False, False)",False,False
258948,IN,2022-01-02,,,,"(False, False)",False,False
258949,IN,2022-01-02,,,,"(False, False)",False,False
258950,IN,2022-01-02,,,,"(False, False)",False,False
258951,EG,2022-01-02,,,,"(False, False)",False,False
258952,PL,2022-01-02,,,,"(False, False)",False,False
258953,ID,2022-01-02,,,,"(False, False)",False,False
258954,IQ,2022-01-02,,,,"(False, False)",False,False
258955,AE,2022-01-02,15846.0,Annual,2022-01-03,"(True, True)",True,True
258956,IN,2022-01-02,20476.0,Monthly,2022-06-30,"(False, True)",False,True
258957,ZA,2022-01-02,,,,"(False, False)",False,False
258958,TJ,2022-01-02,,,,"(False, False)",False,False
258959,IN,2022-01-02,,,,"(False, False)",False,False
258960,CN,2022-01-02,,,,"(False, False)",False,False
258961,IN,2022-01-02,,,,"(False, False)",False,False
258962,EG,2022-01-02,,,,"(False, False)",False,False
258963,SA,2022-01-02,,,,"(False, False)",False,False
258964,TR,2022-01-02,,,,"(False, False)",False,False
258965,IN,2022-01-02,,,,"(False, False)",False,False
258966,GB,2022-01-02,,,,"(False, False)",False,False
258967,NL,2022-01-02,,,,"(False, False)",False,False
258968,AE,2022-01-02,,,,"(False, False)",False,False
258969,US,2022-01-02,,,,"(False, False)",False,False
258970,GM,2022-01-02,,,,"(False, False)",False,False
258971,IL,2022-01-02,15956.0,Monthly,2022-01-09,"(False, False)",False,False
258973,US,2022-01-02,,,,"(False, False)",False,False
258974,SA,2022-01-02,,,,"(False, False)",False,False
258975,US,2022-01-02,,,,"(False, False)",False,False
258976,IN,2022-01-02,,,,"(False, False)",False,False
258977,IN,2022-01-02,,,,"(False, False)",False,False
258978,IN,2022-01-02,,,,"(False, False)",False,False
258979,SA,2022-01-02,,,,"(False, False)",False,False
258980,MX,2022-01-02,15933.0,Annual,2022-01-08,"(True, True)",True,True
258981,TR,2022-01-02,,,,"(False, False)",False,False
258982,TH,2022-01-02,,,,"(False, False)",False,False
258983,AE,2022-01-02,,,,"(False, False)",False,False
258984,DE,2022-01-02,15827.0,Annual,2022-01-02,"(True, True)",True,True
258985,MX,2022-01-02,,,,"(False, False)",False,False
258986,RU,2022-01-02,,,,"(False, False)",False,False
258987,ES,2022-01-02,,,,"(False, False)",False,False
258988,PK,2022-01-02,,,,"(False, False)",False,False
258989,IN,2022-01-02,,,,"(False, False)",False,False
258990,DE,2022-01-02,,,,"(False, False)",False,False
258991,MA,2022-01-02,,,,"(False, False)",False,False
258992,US,2022-01-02,,,,"(False, False)",False,False
258993,SA,2022-01-02,,,,"(False, False)",False,False
258994,GB,2022-01-02,,,,"(False, False)",False,False
258995,PK,2022-01-02,,,,"(False, False)",False,False
258996,SA,2022-01-02,,,,"(False, False)",False,False
258997,NG,2022-01-02,,,,"(False, False)",False,False
258998,SA,2022-01-02,,,,"(False, False)",False,False
258999,IN,2022-01-02,,,,"(False, False)",False,False
259000,SA,2022-01-02,,,,"(False, False)",False,False
259001,AE,2022-01-02,,,,"(False, False)",False,False
259002,SA,2022-01-02,,,,"(False, False)",False,False
259003,MA,2022-01-02,,,,"(False, False)",False,False
259004,TZ,2022-01-02,,,,"(False, False)",False,False
259005,TR,2022-01-02,,,,"(False, False)",False,False
259006,CA,2022-01-02,,,,"(False, False)",False,False
259007,IN,2022-01-02,,,,"(False, False)",False,False
259008,US,2022-01-02,,,,"(False, False)",False,False
259009,SA,2022-01-02,,,,"(False, False)",False,False
259010,SA,2022-01-02,,,,"(False, False)",False,False
