,student_id,minutes_watched,engagement_quizzes,engagement_exams,engagement_lessons
0,258798,0.3,0,0,1
1,258800,531.2,10,5,29
2,258803,620.0,7,4,19
3,258804,14.2,1,0,1
4,258807,1.8,0,0,1
5,258809,53.3,2,0,3
6,258810,3.2,0,0,1
7,258811,41.9,4,0,4
8,258812,2.2,0,0,1
9,258813,2.1,0,0,1
10,258814,8.8,0,0,2
11,258815,29.0,0,1,1
12,258816,0.8,0,0,1
13,258817,0.4,0,0,1
14,258818,1392.5,23,6,77
15,258819,6.6,1,0,1
16,258822,382.7,8,7,15
17,258824,1.3,0,0,1
18,258826,0.3,0,0,1
19,258827,0.3,0,0,1
20,258828,0.4,0,0,1
21,258829,12.5,0,0,1
22,258830,0.9,0,0,1
23,258831,0.1,0,0,1
24,258832,298.7,3,5,11
25,258833,1.3,0,0,1
26,258834,21.9,1,0,1
27,258837,35.7,3,0,3
28,258840,42.1,1,0,2
29,258841,0.6000000000000001,0,0,2
30,258845,1556.2,15,2,23
31,258846,6.9,0,0,1
32,258848,0.1,0,0,1
33,258849,12.0,1,0,1
34,258851,6.6,1,0,1
35,258852,0.1,0,0,1
36,258855,0.2,0,0,1
37,258857,0.8,1,0,1
38,258860,12.2,1,0,1
39,258861,21.6,1,0,2
40,258862,639.5,15,8,21
41,258865,318.5,6,4,14
42,258869,1.2,0,0,1
43,258870,4.7,0,0,3
44,258871,2.2,0,0,1
45,258872,63.8,1,1,1
46,258876,73.6,4,0,5
47,258878,133.7,2,1,2
48,258879,1.2,0,0,1
49,258880,73.2,3,0,3
50,258881,1.9,1,0,1
51,258882,0.5,0,0,1
52,258883,30.0,2,1,3
53,258884,0.3,0,0,1
54,258885,61.7,2,1,2
55,258887,0.1,0,0,1
56,258888,0.7,0,0,1
57,258890,1.2,0,0,1
58,258892,11.2,0,0,3
59,258893,25.3,1,0,1
60,258894,62.0,1,0,1
61,258895,11.2,1,0,1
62,258897,0.1,0,0,1
63,258902,18.9,1,0,2
64,258903,9.3,1,0,1
65,258904,219.0,3,0,6
66,258905,3.6,0,0,1
67,258906,250.39999999999998,4,2,9
68,258907,12.3,1,0,1
69,258908,558.8,3,2,10
70,258910,6.6,1,0,1
71,258912,15.5,1,0,3
72,258913,1463.3,10,9,41
73,258914,2.8,0,0,1
74,258915,40.599999999999994,2,0,3
75,258916,406.5,8,3,9
76,258917,6.6,1,0,1
77,258920,65.3,1,0,1
78,258922,220.9,6,2,15
79,258924,363.5,1,0,9
80,258925,6.7,0,0,1
81,258927,5.699999999999999,0,0,2
82,258929,43.8,2,1,2
83,258930,190.6,10,3,13
84,258933,5.8,0,0,2
85,258936,25.5,0,0,2
86,258939,10.8,0,0,1
87,258940,11.1,0,0,2
88,258947,0.1,0,0,1
89,258951,90.6,1,1,7
90,258954,3.4,0,0,1
91,258955,460.2,4,7,12
92,258956,716.9,9,7,17
93,258957,3.6,0,0,1
94,258959,0.1,0,0,1
95,258960,3.4,0,0,1
96,258962,0.1,0,0,1
97,258965,1.5,0,0,1
98,258967,2.8,0,0,1
99,258969,5.2,0,0,1
100,258970,33.9,1,0,1
101,258971,336.2,11,3,20
102,258973,20.3,0,0,1
103,258974,20.9,1,0,1
104,258979,1.5,0,0,2
105,258980,338.7,2,7,10
106,258982,0.1,0,0,1
107,258984,434.70000000000005,11,5,19
108,258987,0.3,0,0,1
109,258989,0.3,0,0,1
110,258991,5.6,0,0,1
111,258993,0.3,0,0,1
112,258994,95.1,3,0,3
113,258996,39.2,3,0,3
114,258997,8.4,1,0,1
115,258998,0.3,0,0,1
116,258999,0.5,0,0,1
117,259000,57.300000000000004,1,0,3
118,259001,7.9,0,0,2
119,259002,52.3,3,0,3
120,259005,2.6,0,0,4
121,259008,1.1,0,0,1
122,259011,1937.3,14,14,51
123,259012,61.8,0,2,3
124,259014,2.4,0,0,1
125,259015,149.5,5,0,6
126,259017,1.1,0,0,1
127,259018,0.7,0,0,1
128,259019,220.2,5,1,13
129,259020,5.8,1,0,1
130,259022,1.2,0,0,1
131,259024,27.0,2,0,2
132,259025,2.3,1,0,1
133,259026,586.4,13,7,29
134,259028,178.79999999999998,3,0,7
135,259029,10.4,1,0,1
136,259032,30.7,0,0,1
137,259033,3.3,0,0,1
138,259034,34.3,2,0,4
139,259035,1.1,0,0,1
140,259036,6.5,0,0,1
141,259039,402.2,5,3,13
142,259040,0.1,0,0,1
143,259041,0.2,0,0,1
144,259042,194.6,4,1,5
145,259043,11.0,1,1,2
146,259045,2.2,0,0,1
147,259046,141.2,0,1,1
148,259047,27.2,1,0,2
149,259048,0.6,0,0,1
150,259051,0.4,0,0,1
151,259054,69.5,2,0,5
152,259055,2.0,0,0,1
153,259056,0.5,0,0,1
154,259057,8.4,1,0,1
155,259058,1.2,0,0,1
156,259059,4.3,0,0,1
157,259060,30.2,2,0,3
158,259062,9.5,1,0,1
159,259063,4.7,0,0,1
160,259065,0.4,0,0,1
161,259067,59.8,1,1,1
162,259068,46.6,1,0,2
163,259069,1.0,1,0,1
164,259070,715.1,3,0,19
165,259071,53.6,2,0,2
166,259072,1.8,0,0,1
167,259077,10.2,0,0,1
168,259078,0.9,0,0,1
169,259079,0.2,0,0,1
170,259080,156.4,1,1,3
171,259084,17.0,0,0,2
172,259085,0.9,0,0,1
173,259086,5.3,0,0,1
174,259088,86.5,2,1,4
175,259090,10.0,1,0,1
176,259093,99.1,0,1,2
177,259095,0.1,0,0,1
178,259097,12.2,1,0,1
179,259098,20.1,1,0,2
180,259099,1.1,0,0,1
181,259101,1.9000000000000001,0,0,2
182,259102,0.2,0,0,1
183,259103,13.7,0,0,1
184,259104,0.7,0,0,1
185,259105,128.0,4,2,7
186,259106,2862.2,5,10,75
187,259108,28.099999999999998,1,0,4
188,259110,68.6,1,1,3
189,259113,0.4,1,0,1
190,259114,2.0,0,0,1
191,259115,0.7,0,0,1
192,259116,37.9,1,0,1
193,259118,98.1,1,2,4
194,259121,60.0,1,1,2
195,259123,66.0,2,0,3
196,259125,5.6,1,0,1
197,259126,4.9,0,0,1
198,259127,2.1,0,0,1
199,259132,5.8999999999999995,0,0,3
200,259133,2.4,0,0,1
201,259134,13.6,1,0,1
202,259137,6.0,0,0,1
203,259138,12.6,0,0,1
204,259143,24.200000000000003,1,0,2
205,259144,3.0,0,0,1
206,259145,0.3,0,0,1
207,259146,3.3,0,0,1
208,259149,38.2,1,0,1
209,259150,0.2,0,0,1
210,259152,10.7,1,0,2
211,259155,377.9,3,3,7
212,259156,2.4,0,0,1
213,259158,0.5,0,0,1
214,259160,1.0,0,1,1
215,259164,0.7,0,0,1
216,259165,0.2,0,0,1
217,259167,10.5,1,0,2
218,259170,1.2,0,0,1
219,259171,317.7,2,4,7
220,259172,7.4,1,0,1
221,259174,5022.6,29,37,95
222,259178,44.4,1,1,3
223,259180,50.1,0,0,4
224,259181,0.1,0,0,1
225,259183,18.3,1,0,2
226,259184,0.1,0,0,1
227,259187,9.5,1,0,2
228,259188,4.3,1,0,1
229,259190,12.6,1,0,2
230,259191,1.0,0,0,1
231,259192,0.4,0,0,1
232,259195,32.2,1,0,1
233,259196,3.2,0,0,1
234,259198,52.5,0,0,7
235,259199,19.4,1,0,1
236,259201,2.0,0,0,1
237,259203,15.7,1,0,2
238,259204,0.3,0,0,1
239,259205,9.8,1,0,2
240,259207,1.0,0,0,2
241,259209,245.29999999999998,3,4,6
242,259210,43.599999999999994,2,0,2
243,259211,44.9,2,0,4
244,259213,1.4,0,0,1
245,259214,0.2,0,1,1
246,259217,8.2,1,0,1
247,259222,0.1,0,0,1
248,259223,0.7,0,0,1
249,259225,0.6,0,0,1
250,259226,6.3,0,1,2
251,259229,2.7,1,0,4
252,259231,0.1,0,0,1
253,259232,34.7,0,1,1
254,259233,68.8,1,1,1
255,259239,51.3,2,1,2
256,259240,2.6,0,0,2
257,259242,9.2,1,0,1
258,259244,110.0,1,0,1
259,259246,30.9,1,0,1
260,259247,75.2,0,2,2
261,259250,6.5,0,0,1
262,259254,43.4,2,0,4
263,259258,1400.4,19,14,44
264,259260,95.1,3,1,5
265,259261,16.6,1,0,2
266,259262,993.1,11,3,43
267,259264,64.5,2,1,2
268,259266,10.8,0,1,1
269,259267,11.5,1,0,1
270,259268,1393.7,2,6,20
