days_engaged,subscribed,minutes_watched,engaged_with_quizzes,engaged_with_exams,engaged_with_qa
1.0,False,0.3,False,False,False
0.0,False,0.0,False,False,False
29.0,True,531.2,True,True,False
0.0,False,0.0,False,False,False
0.0,False,0.0,False,False,False
19.0,True,620.0,True,True,True
1.0,False,14.2,True,False,False
0.0,False,0.0,False,False,False
0.0,False,0.0,False,False,False
1.0,False,1.8,False,False,False
0.0,False,0.0,False,False,False
3.0,False,53.3,True,False,False
1.0,False,3.2,False,False,False
4.0,False,41.9,True,False,False
1.0,False,2.2,False,False,False
1.0,False,2.1,False,False,False
2.0,False,8.8,False,False,False
1.0,False,29.0,False,True,False
1.0,False,0.8,False,False,False
1.0,False,0.4,False,False,False
77.0,True,1392.5,True,True,True
1.0,False,6.6,True,False,False
0.0,False,0.0,False,False,False
15.0,False,382.7,True,True,True
0.0,False,0.0,False,False,False
1.0,False,1.3,False,False,False
0.0,False,0.0,False,False,False
1.0,False,0.3,False,False,False
1.0,False,0.3,False,False,False
1.0,False,0.4,False,False,False
1.0,False,12.5,False,False,False
1.0,False,0.9,False,False,False
1.0,False,0.1,False,False,False
12.0,False,298.7,True,True,False
1.0,False,1.3,False,False,False
1.0,False,21.9,True,False,False
0.0,False,0.0,False,False,False
0.0,False,0.0,False,False,False
3.0,False,35.7,True,False,False
0.0,False,0.0,False,False,False
0.0,False,0.0,False,False,False
2.0,False,42.1,True,False,False
2.0,False,0.6000000000000001,False,False,False
0.0,False,0.0,False,False,False
0.0,False,0.0,False,False,False
0.0,False,0.0,False,False,False
23.0,False,1556.2,True,True,False
1.0,False,6.9,False,False,False
0.0,False,0.0,False,False,False
1.0,False,0.1,False,False,False
1.0,False,12.0,True,False,False
0.0,False,0.0,False,False,False
1.0,False,6.6,True,False,False
1.0,False,0.1,False,False,False
0.0,False,0.0,False,False,False
0.0,False,0.0,False,False,False
1.0,False,0.2,False,False,False
1.0,False,0.8,True,False,False
0.0,False,0.0,False,False,False
0.0,False,0.0,False,False,False
1.0,False,12.2,True,False,False
2.0,False,21.6,True,False,False
21.0,True,639.5,True,True,False
0.0,False,0.0,False,False,False
14.0,True,318.5,True,True,False
0.0,False,0.0,False,False,False
0.0,False,0.0,False,False,False
0.0,False,0.0,False,False,False
1.0,False,1.2,False,False,False
3.0,False,4.7,False,False,False
1.0,False,2.2,False,False,False
1.0,False,63.8,True,True,False
0.0,False,0.0,False,False,False
0.0,False,0.0,False,False,False
0.0,False,0.0,False,False,False
5.0,False,73.6,True,False,False
0.0,False,0.0,False,False,False
2.0,True,133.7,True,True,False
1.0,False,1.2,False,False,False
3.0,False,73.2,True,False,False
1.0,False,1.9,True,False,False
1.0,False,0.5,False,False,False
3.0,True,30.0,True,True,False
1.0,False,0.3,False,False,False
2.0,False,61.7,True,True,False
0.0,False,0.0,False,False,False
1.0,False,0.1,False,False,False
1.0,False,0.7,False,False,False
0.0,False,0.0,False,False,False
1.0,False,1.2,False,False,False
0.0,False,0.0,False,False,False
3.0,False,11.2,False,False,False
1.0,False,25.3,True,False,False
1.0,False,62.0,True,False,False
1.0,False,11.2,True,False,False
0.0,False,0.0,False,False,False
1.0,False,0.1,False,False,False
0.0,False,0.0,False,False,False
0.0,False,0.0,False,False,False
0.0,False,0.0,False,False,False
0.0,False,0.0,False,False,False
2.0,False,18.9,True,False,False
1.0,False,9.3,True,False,False
6.0,False,219.0,True,False,False
1.0,False,3.6,False,False,False
9.0,False,250.39999999999998,True,True,False
1.0,False,12.3,True,False,False
10.0,False,558.8,True,True,False
0.0,False,0.0,False,False,False
1.0,False,6.6,True,False,False
0.0,False,0.0,False,False,False
3.0,False,15.5,True,False,False
41.0,True,1463.3,True,True,False
1.0,False,2.8,False,False,False
3.0,False,40.599999999999994,True,False,False
9.0,True,406.5,True,True,False
1.0,False,6.6,True,False,False
0.0,False,0.0,False,False,False
1.0,False,65.3,True,False,False
0.0,False,0.0,False,False,False
15.0,True,220.9,True,True,False
9.0,False,363.5,True,False,False
1.0,False,6.7,False,False,False
0.0,False,0.0,False,False,False
2.0,False,5.699999999999999,False,False,False
0.0,False,0.0,False,False,False
2.0,False,43.8,True,True,False
13.0,False,190.6,True,True,False
0.0,False,0.0,False,False,False
0.0,False,0.0,False,False,False
2.0,False,5.8,False,False,False
0.0,False,0.0,False,False,False
0.0,False,0.0,False,False,False
2.0,False,25.5,False,False,False
0.0,False,0.0,False,False,False
0.0,False,0.0,False,False,False
1.0,False,10.8,False,False,False
2.0,False,11.1,False,False,False
0.0,False,0.0,False,False,False
0.0,False,0.0,False,False,False
0.0,False,0.0,False,False,False
0.0,False,0.0,False,False,False
0.0,False,0.0,False,False,False
0.0,False,0.0,False,False,False
1.0,False,0.1,False,False,False
0.0,False,0.0,False,False,False
0.0,False,0.0,False,False,False
0.0,False,0.0,False,False,False
7.0,False,90.6,True,True,False
0.0,False,0.0,False,False,False
0.0,False,0.0,False,False,False
1.0,False,3.4,False,False,False
13.0,True,460.2,True,True,False
17.0,False,716.9,True,True,False
1.0,False,3.6,False,False,False
0.0,False,0.0,False,False,False
1.0,False,0.1,False,False,False
1.0,False,3.4,False,False,False
0.0,False,0.0,False,False,False
1.0,False,0.1,False,False,False
0.0,False,0.0,False,False,False
0.0,False,0.0,False,False,False
1.0,False,1.5,False,False,False
0.0,False,0.0,False,False,False
